objectid,title,date,creator,description,format,image_small,image_thumb,object_transcript
comic_001,Nervous Energy,April 1 2022,Chris Resnick,"Nervous Energy follows Rio, an alcoholic gambling addict, through the underbelly of Las Vegas, as he stumbles into the future on a mission to figure out the past.",comic,objects/small/Nervous Energy.png,objects/thumbs/nervous energy.png,
comic_002,Speaking Of,Sept 17 2023,Joel Heart & Chris Resnick,?,comic,objects/small/Speaking Of. Png,objects/thumbs/Speaking Of.png,
comic_003,Witch Shit,Aug 5 2023,Chris Resnick,"A wisecracking witch just wants to blow off a little steam, but ends up getting more than she bargained for. A girl can’t catch a break!",comic,objects/small/Witch Shit.png,objects/thumbs/Witch Shit.png,
comic_004,Skyline,June 17th 2022,Chris Resnick,"Set against the backdrop of a humble trailer park, follow the intertwining lives of resilient youngsters navigating the trials and triumphs of coming of age. Through vivid illustrations and poignant storytelling, 'Skyline' captures the essence of childhood innocence amidst the challenges of growing up in unconventional circumstances.",comic,objects/small/Skyline.jpg,objects/thumbs/Skyline.jpg,
comic_005,The Live Echoes,Nov 24 2022,Mo Shirazi,"The Live Echoes is a limited series comic that accounts a history of the space cult by the same name. Isadora, a scientist from 1901, reconnects with a colleague, Reventon, to witness the first series of tests using his Diathermic machine. Reventon devises the machine to 'encourage' symptoms within seven patients he has collected in his asylum who share peculiar commonalities. The electroshock therapy results in a transcendence of consciousness where the thread that weaves all of the characters together is betrayed through a cerebral maze bouncing between the asylum in 1901 and an internet parish in 2017. The Live Echoes believe all consciousness can be connected through a computer network so that a strong channel can pulse through space and time to link other versions of Selves from different dimensions, creating an omnipotent consciousness. Led by Reventon in 2017, his desperation to piece together all minds from all times is driven by a grief that haunts him incessantly. As both the mad scientist at the turn of the century and the megalomaniac behind a laptop, Reventon searches for his wife through the nucleic tundra within every consciousness, dragging along a congregation of patients and apostles to the farthest reaching meccas of the mental universe.",comic,objects/small/The Live Echoes_iss_1.png,objects/thumbs/The Live Echoes_iss_1.png,
comic_006,Eat My Shorts,Dec-21,Chris Resnick,A collection of short stories.,comic,objects/small/EMS_FRONT_outter_cover1.jpeg,objects/thumbs/EMS_FRONT_outter_cover1.jpeg,
comic_007,The Live Echoes #2,Coming Soon!,Mo Shirazi,Coming Soon,comic,,,
comic_008,Skyline #2,Nov 2 2022,Chris Resnick,"Coming of age tale about two friends on a camping trip with grandparents, and their first brush with love.",comic,,,
comic_009,Marshmallows,Nov 2 2022,Chris Resnick,"Coming of age tale about two friends on a camping trip with grandparents, and their first brush with love.",comic,objects/small/MARSH_FRONT_COVER.jpg,objects/thumbs/MARSH_FRONT_COVER.jpg,
